scheduler,column_count,sample_count,mean_loss,min_loss,max_loss,range_loss
max,1,8,28.410378575325012,26.72814655303955,31.154697716236115,4.426551163196564
max,8,8,16.422656152397394,15.386992514133453,18.35476154088974,2.9677690267562866
max,16,8,13.753109447658062,12.922403246164322,14.363155126571655,1.4407518804073334
max,24,8,12.48348317667842,11.691110223531723,12.861423075199127,1.1703128516674042
max,32,8,11.502806514501572,11.018823742866516,11.997101783752441,0.9782780408859253
max,40,8,10.844360437244177,10.416139036417007,11.40185460448265,0.9857155680656433
max,48,8,10.383947379887104,10.011928617954254,11.118674635887146,1.1067460179328918
max,56,8,10.026885688304901,9.540289610624313,10.42358586192131,0.8832962512969971
max,64,8,9.525123104453087,9.228160798549652,9.647703170776367,0.4195423722267151
max,72,8,9.243348851799965,9.13134941458702,9.418079674243927,0.28673025965690613
max,80,8,9.15431597456336,8.951525002717972,9.311210572719574,0.3596855700016022
max,88,8,8.92488358169794,8.827318966388702,9.024388492107391,0.19706952571868896
max,96,8,8.711594196036458,8.64491480588913,8.804537743330002,0.1596229374408722
max,104,8,8.6331566888839,8.565708413720131,8.743040293455124,0.17733187973499298
max,112,8,8.51594982482493,8.484154671430588,8.556266441941261,0.07211177051067352
max,120,8,8.398809149861336,8.337234437465668,8.47677430510521,0.13953986763954163
max,128,1,8.312429159879684,8.312429159879684,8.312429159879684,0.0
min,1,8,26.86945351958275,24.53080052137375,29.740487098693848,5.209686577320099
min,8,8,15.60534530133009,14.06917604804039,17.757593095302582,3.6884170472621918
min,16,8,13.047801043838263,12.335550278425217,13.560706824064255,1.225156545639038
min,24,8,11.34953074157238,10.598278135061264,11.861975073814392,1.263696938753128
min,32,8,10.710735078901052,10.419153660535812,11.0693818628788,0.6502282023429871
min,40,8,9.996443159878254,9.71716183423996,10.646406590938568,0.9292447566986084
min,48,8,9.713878132402897,9.390476822853088,10.126665204763412,0.7361883819103241
min,56,8,9.552061397582293,9.292075037956238,9.998579412698746,0.7065043747425079
min,64,8,9.294530484825373,9.079854279756546,9.618476659059525,0.5386223793029785
min,72,8,9.045059584081173,8.985899299383163,9.13186901807785,0.1459697186946869
min,80,8,8.92841942049563,8.829612880945206,9.000235944986343,0.1706230640411377
min,88,8,8.856135491281748,8.731509506702423,9.020354747772217,0.2888452410697937
min,96,8,8.78300760127604,8.699309080839157,8.89718171954155,0.19787263870239258
min,104,8,8.733205558732152,8.6763014793396,8.822480648756027,0.1461791694164276
min,112,8,8.674344211816788,8.634860098361969,8.728875070810318,0.094014972448349
min,120,8,8.608069935813546,8.580002337694168,8.621886119246483,0.04188378155231476
min,128,1,8.577082946896553,8.577082946896553,8.577082946896553,0.0
