latin_budget_label,k,scheduler,latin_actual_params,traditional_actual_params,traditional_d_model,traditional_layers,traditional_heads,param_ratio_traditional_over_latin,latin_ensemble_loss,traditional_validation_loss,loss_delta_traditional_minus_latin
1000000,16,max,3323664,3320382,78,11,1,0.9990125355631616,8.845924939391976,9.606231544591203,0.7603066051992275
1000000,16,min,3323664,3320382,78,11,1,0.9990125355631616,9.25534916504965,9.606231544591203,0.3508823795415541
1000000,64,max,2181960,2174315,55,11,1,0.996496269409155,8.41501054243516,9.720546867274031,1.3055363248388705
1000000,64,min,2181960,2174315,55,11,1,0.996496269409155,8.78234994588262,9.720546867274031,0.9381969213914108
1000000,128,max,1695792,1694700,45,10,1,0.999356053100852,8.410655372476173,9.775050923794131,1.3643955513179584
1000000,128,min,1695792,1694700,45,10,1,0.999356053100852,8.739229240154815,9.775050923794131,1.0358216836393161
10000000,16,max,17353992,17314180,260,11,4,0.9977058880746286,8.814677786018889,9.078279446951951,0.2636016609330625
10000000,16,min,17353992,17314180,260,11,4,0.9977058880746286,9.077995700351263,9.078279446951951,0.00028374660068841706
10000000,64,max,13738596,13692240,216,12,4,0.9966258560918452,8.245663029662634,9.17471888699109,0.9290558573284571
10000000,64,min,13738596,13692240,216,12,4,0.9966258560918452,8.398748360447964,9.17471888699109,0.7759705265431265
10000000,128,max,12533920,12423632,208,11,4,0.9912008374076107,8.14068676051447,9.192088736763484,1.0514019762490143
10000000,128,min,12533920,12423632,208,11,4,0.9912008374076107,8.315471810304512,9.192088736763484,0.876616926458972
